doi,source_id,title_paper,title_patent,y_pred
10.1097/MOP.0b013e3283420fd0,14963.0,Update on fetal hemoglobin gene regulation in hemoglobinopathies,Targeting BCL11A distal regulatory elements for fetal hemoglobin reinduction,1
10.1186/s12940-022-00874-8,145480.0,Association of Ozone Exposures with the risk of thyroid nodules in Hunan Province: a population-based cohort study,Medical thyroid postoperative protective device,1
10.3892/ol.2018.8222,19700176021.0,Lim and sh3 protein 1 knockdown suppresses proliferation and metastasis of colorectal carcinoma cells via inhibition of the mitogen-activated protein kinase signaling pathway,Novel molecular design method for EGFR (epidermal growth factor receptor) and DNA (deoxyribonucleic acid) double-target ruthenium anti-tumor complex,1
10.1001/jamaneurol.2015.2075,21100228519.0,Neurogranin levels in cerebrospinal fluid: A new addition to the Alzheimer disease diagnostic toolbox,Biomarkers for Alzheimer's disease,1
10.1038/nrc3298,12464.0,Evolutionary dynamics of carcinogenesis and why targeted therapy does not work,Molecular imaging of cancer cells in vivo,1
10.3389/fmicb.2022.1002691,21100226442.0,"Prevalence and WGS-based characteristics of MRSA isolates in hospitals in Shanghai, China",Traditional Chinese medicine composition for quickly relieving sore throat and preparation method thereof,1
10.1128/spectrum.00647-22,21100433120.0,Gut Microbiota Mediates the Therapeutic Effect of Monoclonal Anti-TLR4 Antibody on Acetaminophen-Induced Acute Liver Injury in Mice,"Anti-schistosomiasis monoclonal antibody NP11-4 single-chain antibody, preparation and use thereof",1
10.1016/0006-291X(92)92375-8,16845.0,Up-regulation of hepatocyte growth factor gene expression by interleukin-1 in human skin fibroblasts,AGENT FOR PROMOTING HGF PRODUCTION COMPRISING HEPARIN-LIKE OLIGOSACCHARIDES,1
10.1148/radiol.11101450,17864.0,Adaptive statistical iterative reconstruction technique for radiation dose reduction in chest CT: A pilot study,METHOD AND DEVICE FOR TILTED HELICAL RECONSTITUTION MULTI-SLICE CT,1
10.1016/j.neurobiolaging.2010.12.011,23985.0,Replication analysis of SNPs on 9p21.2 and 19p13.3 with amyotrophic lateral sclerosis in East Asians,METHOD FOR EXAMINING GENETIC DIATHESIS OF BRONCHIAL ASTHMA,1
10.4238/gmr16029408,22190.0,Effects of cell death-inducing DFF45-like effector B on meat quality traits in Berkshire pigs,SNP SNP maker for predicting meat quality of pig and use thereof,1
10.1038/s41396-020-0617-3,5800173382.0,Taxon-specific microbial growth and mortality patterns reveal distinct temporal population responses to rewetting in a California grassland soil,Quantitative substrate utilization in microbial ecology using stable isotope probing,1
10.1016/j.ijbiomac.2016.01.048,17544.0,Comparative studies on the immunoregulatory effects of three polysaccharides using high content imaging system,"TUMOR-TARGETING POLYPEPTIDE, PREPARATION METHOD AND APPLICATION THEREOF",1
10.1021/jm00403a005,23041.0,"Synthesis and antiviral activity of certain 4-substituted and 2,4-disubstituted 7-[(2-hydroxyethoxy)methyl]pyrrolo[2,3-d]pyrimidines",Modified benzimidazole nucleosides as antiviral agents,1
10.1128/JB.00369-10,20220.0,Complete genome sequence of probiotic Bifidobacterium animalis subsp. lactis strain V9,Lactobacillus plantarum AB-3 having bacteria inhibition activity and application thereof,1
10.1016/j.thromres.2020.01.021,20648.0,The association between leptin concentration and blood coagulation: Results from the NEO study,METHOD OF SCRENNING FOR THE PRESENCE OF A GENETIC DEFECT ASSOCIATED WITH DEEP VENOUS THROMBOSIS,1
10.1016/j.idairyj.2013.07.006,51565.0,Development of an immunomagnetic separation-propidium monoazide-polymerase chain reaction assay with internal amplification control for rapid and sensitive detection of viable Escherichia coli O157: H7 in milk,Sample storing tank with disinfection function,1
