title,appln_auth,appln_nr,appln_kind,appln_filing_date,appln_filing_year,appln_nr_original,ipr_type
Freeze-drying method of ligustrazine hydrochloride freeze-drying preparation for injection,CN,201510507904,A ,2015-08-18 00:00:00,2015.0,2015105079048,PI
Uses of oligopeptide combination or combination of oligopeptide and enkephalin in preparation of drugs for analgesia,CN,201410034021,A ,2014-01-23 00:00:00,2014.0,2014100340215,PI
Cold sensitive mutant DNA polymerases and methods of use thereof,US,77753801,A ,2001-02-06 00:00:00,2001.0,09777538,PI
Cardiology department hemostasis device capable of increasing pressing area,CN,202022349784,U ,2020-10-21 00:00:00,2020.0,202022349784,UM
Dual fluorescence imaging method of mucoprotein 1 and sialyl glycosyl thereof and application,CN,202010795818,A ,2020-08-10 00:00:00,2020.0,202010795818,PI
CARDIOTONIC QUINAZOLINE DERIVATIVES,EP,86302033,A ,1986-03-19 00:00:00,1986.0,86302033,PI
Nuclear magnetic resonance imaging device convenient for transferring various patients for imaging department,CN,202110751762,A ,2021-07-03 00:00:00,2021.0,202110751762,PI
Information processing method and related equipment,CN,201410802126,A ,2014-12-18 00:00:00,2014.0,2014108021260,PI
Intelligent disinfection box,CN,202021380289,U ,2020-07-14 00:00:00,2020.0,202021380289,UM
Nursing trolley for internal medicine,CN,201520010888,U ,2015-01-08 00:00:00,2015.0,2015200108887,UM
River way water quality purification waterpower rotary spraying device and rotary nozzle thereof,CN,201810252845,A ,2018-03-26 00:00:00,2018.0,201810252845,PI
Intragastric fixing disc for percutaneous endoscopic gastrostomy,CN,202010344751,A ,2020-04-27 00:00:00,2020.0,202010344751,PI
SKIN MOISTURIZING COMPOSITION CONTAINING PHLOROGLUCINOL OR SALT THEREOF AS ACTIVE INGREDIENT,WO,2018012841,W ,2018-10-26 00:00:00,2018.0,KR2018/012841,PI
Arc light source infrared breast diagnostic apparatus probe,CN,201310343344,A ,2013-08-08 00:00:00,2013.0,2013103433448,PI
Fusarium oxysporum nucleotide sequence qualitative standard sample and preparing method thereof,CN,201610099759,A ,2016-02-23 00:00:00,2016.0,2016100997599,PI
Flushing and suction device cooperatively used with tubular devices,CN,201811643858,A ,2018-12-29 00:00:00,2018.0,201811643858,PI
DEVELOPMENT OF AMNION-LIKE TISSUE FROM HUMAN PLURIPOTENT STEM CELLS,WO,2017065261,W ,2017-12-08 00:00:00,2017.0,US2017/065261,PI
Dehydrogenase electrode and application thereof,CN,201610581495,A ,2016-07-21 00:00:00,2016.0,201610581495,PI
Woundplast that contains oxidized regenerated cellulose,CN,201521106349,U ,2015-12-28 00:00:00,2015.0,201521106349,UM
"METHOD FOR NUCLEIC ACID AMPLIFICATION, REAGENT FOR NUCLEIC ACID AMPLIFICATION AND REAGENT KIT",JP,2006175378,A ,2006-06-26 00:00:00,2006.0,2006175378,PI
Auxiliary medicine feeding device for nursing,CN,202120246710,U ,2021-01-29 00:00:00,2021.0,202120246710,UM
Postoperative winding device for lead of pacemaker,CN,202021288740,U ,2020-07-01 00:00:00,2020.0,202021288740,UM
"Ion generating element, ion generator, and electric device",CN,200480013304,A ,2004-05-10 00:00:00,2004.0,A2004800133046,PI
PROSTATE CANCER BIOMARKERS,WO,2020053050,W ,2020-11-27 00:00:00,2020.0,GB2020/053050,PI
VACCINES AND METHODS TO TREAT LYME DISEASE IN DOGS,WO,2013037063,W ,2013-04-18 00:00:00,2013.0,US2013/037063,PI
PICC dressing change maintenance device,CN,202020737731,U ,2020-05-07 00:00:00,2020.0,202020737731,UM
Gene detection sample collection bag,CN,201821941592,U ,2018-11-22 00:00:00,2018.0,201821941592,UM
RADIOLIGANDS FOR PRETARGETED PET IMAGING AND METHODS OF THEIR THERAPEUTIC USE,US,202117464472,A ,2021-09-01 00:00:00,2021.0,17464472,PI
SUBSTITUTED IMIDAZOLE DERIVATIVE HAVING AGONIST-LIKE ACTIVITY AT alpha2B OR 2B/2C ADRENERGIC RECEPTOR,JP,2010120662,A ,2010-05-26 00:00:00,2010.0,2010120662,PI
ADENO-ASSOCIATED VIRUSES FOR OCULAR DELIVERY OF GENE THERAPY,WO,2021054008,W ,2021-10-07 00:00:00,2021.0,US2021/054008,PI
Apparatus of Inserting a Marker into Lung for Monitoring the Motion of Lung,KR,20170034930,A ,2017-03-20 00:00:00,2017.0,1020170034930,PI
PLASTIC ARTIFICIAL BONE COMPOSITE MATERIAL AND PREPARATION METHOD THEREFOR,WO,2019104793,W ,2019-09-06 00:00:00,2019.0,CN2019/104793,PI
Nail box of linear cutting anastomat,CN,202011414878,A ,2020-12-07 00:00:00,2020.0,202011414878,PI
Biogas digester water current impact anti-sedimentation device convenient for additional mounting,CN,201810481473,A ,2018-05-18 00:00:00,2018.0,,PI
DIAGNOSITIC METHODS OF TUMOR SUSPCEPTIBILITY WITH SINGLE NUCLEOTIDE POLYMORPHISMS INSIDE MICRORNA TARGET SITES,WO,2011025826,W ,2011-02-23 00:00:00,2011.0,US2011/025826,PI
Medicated wine for treating chronic infectious arthritis,CN,201410041349,A ,2014-01-21 00:00:00,2014.0,201410041349X,PI
Bicyclononene derivatives as renin inhibitors,AU,2005276624,A ,2005-08-22 00:00:00,2005.0,2005276624,PI
Multifunctional medical cotton swab,CN,201110074213,A ,2011-03-28 00:00:00,2011.0,2011100742135,PI
Special bed of nosocomial infections,CN,201621099125,U ,2016-09-30 00:00:00,2016.0,201621099125,UM
METHODS FOR THE PREVENTION AND TREATMENT OF BURN INJURIES AND SECONDARY COMPLICATIONS,US,201615266522,A ,2016-09-15 00:00:00,2016.0,15266522,PI
Handheld laser medical equipment with safety protective base,CN,201610166917,A ,2016-03-23 00:00:00,2016.0,201610166917,PI
Nail abutting seat and anastomat,CN,202111591260,A ,2021-12-23 00:00:00,2021.0,202111591260,PI
Noise reduction oxygen humidification bottle,CN,202121654848,U ,2021-07-21 00:00:00,2021.0,202121654848,UM
Shell-shaped dental instrument system and traction structure design method thereof,CN,202010075857,A ,2020-01-22 00:00:00,2020.0,202010075857,PI
"RPA primer, probe and method for detecting pork ingredients in meat products",CN,201810089782,A ,2018-01-30 00:00:00,2018.0,201810089782,PI
Serotype 4 haemophilus parasuis (HPs) vaccine strain,CN,201310126191,A ,2013-04-11 00:00:00,2013.0,2013101261911,PI
Drainage liquid discharging device for negative-pressure drainage bottle of operating room,CN,202020399698,U ,2020-03-26 00:00:00,2020.0,202020399698,UM
GENERATION OF INDUCED PLURIPOTENT CELLS BY CRISPR ACTIVATION,CN,201880083468,A ,2018-12-27 00:00:00,2018.0,201880083468,PI
Blood taking needle protective cap,CN,202121002216,U ,2021-05-07 00:00:00,2021.0,202121002216,UM
INDUCING RESISTANCE TO TUMOR GROWTH WITH SOLUBLE IGF-1 RECEPTOR,EP,96941358,A ,1996-11-13 00:00:00,1996.0,96941358,PI
